zip_code,historical_permits,historical_units,recent_permits,recent_units,permit_growth,unit_growth,total_permits,total_units,activity_score,growth_component,unit_component,growth_score
60632,3.0,6.0,7,9.0,1.3333333333333333,0.5,10.0,15.0,0.1111111111111111,1.0,0.75,0.5801989296345882
60657,11.0,26.0,17,31.0,0.5454545454545454,0.19230769230769232,28.0,57.0,0.3111111111111111,0.7727272727272727,0.5961538461538461,0.5790586742651991
60630,12.0,13.0,17,18.0,0.4166666666666667,0.38461538461538464,29.0,31.0,0.32222222222222224,0.7083333333333334,0.6923076923076923,0.5583226534674008
60636,5.0,5.0,7,8.0,0.4,0.6,12.0,13.0,0.13333333333333333,0.7,0.8,0.5482218870586666
60614,19.0,503.0,30,364.0,0.5789473684210527,-0.27634194831013914,49.0,867.0,0.5444444444444444,0.7894736842105263,0.36182902584493043,0.5344025018622424
60646,18.0,24.0,17,28.0,-0.05555555555555555,0.16666666666666666,35.0,52.0,0.3888888888888889,0.4722222222222222,0.5833333333333334,0.5131542624301004
60626,5.0,7.0,6,11.0,0.2,0.5714285714285714,11.0,18.0,0.12222222222222222,0.6,0.7857142857142857,0.49312077074247596
60652,3.0,4.0,5,5.0,0.6666666666666666,0.25,8.0,9.0,0.08888888888888889,0.8333333333333333,0.625,0.47506235767333665
60611,44.0,435.0,39,41.0,-0.11363636363636363,-0.9057471264367816,83.0,476.0,0.9222222222222223,0.4431818181818182,0.047126436781609216,0.4680398148074974
60655,4.0,4.0,5,5.0,0.25,0.25,9.0,9.0,0.1,0.625,0.625,0.4619584627764559
60618,25.0,52.0,25,30.0,0.0,-0.4230769230769231,50.0,82.0,0.5555555555555556,0.5,0.28846153846153844,0.4612363269239076
60661,23.0,193.0,21,93.0,-0.08695652173913043,-0.5181347150259067,44.0,286.0,0.4888888888888889,0.4565217391304348,0.24093264248704666,0.44697929354311167
60621,3.0,3.0,4,4.0,0.3333333333333333,0.3333333333333333,7.0,7.0,0.07777777777777778,0.6666666666666666,0.6666666666666666,0.442296400583349
60605,35.0,40.0,24,29.0,-0.3142857142857143,-0.275,59.0,69.0,0.6555555555555556,0.34285714285714286,0.3625,0.43943122912360877
60616,22.0,70.0,26,36.0,0.18181818181818182,-0.4857142857142857,48.0,106.0,0.5333333333333333,0.5909090909090909,0.2571428571428571,0.4360893687342612
60660,8.0,10.0,10,10.0,0.25,0.0,18.0,20.0,0.2,0.625,0.5,0.42728999788110855
60637,12.0,13.0,8,15.0,-0.3333333333333333,0.15384615384615385,20.0,28.0,0.2222222222222222,0.33333333333333337,0.5769230769230769,0.4085290152732679
60612,18.0,22.0,13,16.0,-0.2777777777777778,-0.2727272727272727,31.0,38.0,0.34444444444444444,0.3611111111111111,0.36363636363636365,0.4021930054182196
60624,9.0,10.0,10,10.0,0.1111111111111111,0.0,19.0,20.0,0.2111111111111111,0.5555555555555556,0.5,0.38774729544048026
60619,13.0,19.0,10,22.0,-0.23076923076923078,0.15789473684210525,23.0,41.0,0.25555555555555554,0.3846153846153846,0.5789473684210527,0.384485549997365
60653,8.0,51.0,13,13.0,0.625,-0.7450980392156863,21.0,64.0,0.23333333333333334,0.8125,0.12745098039215685,0.3799896553853083
60601,21.0,620.0,25,25.0,0.19047619047619047,-0.9596774193548387,46.0,645.0,0.5111111111111111,0.5952380952380952,0.020161290322580627,0.3765182719973834
60659,5.0,5.0,3,7.0,-0.4,0.4,8.0,12.0,0.08888888888888889,0.3,0.7,0.37503829059832045
60628,12.0,16.0,13,13.0,0.08333333333333333,-0.1875,25.0,29.0,0.2777777777777778,0.5416666666666666,0.40625,0.36545348932694705
60606,25.0,508.0,26,30.0,0.04,-0.9409448818897638,51.0,538.0,0.5666666666666667,0.52,0.029527559055118113,0.35712438641682237
60638,4.0,5.0,4,4.0,0.0,-0.2,8.0,9.0,0.08888888888888889,0.5,0.4,0.3363952903672017
60625,30.0,30.0,14,14.0,-0.5333333333333333,-0.5333333333333333,44.0,44.0,0.4888888888888889,0.23333333333333334,0.23333333333333334,0.33116255397725913
60634,14.0,15.0,12,13.0,-0.14285714285714285,-0.13333333333333333,26.0,28.0,0.28888888888888886,0.4285714285714286,0.43333333333333335,0.33063214342551206
