year,zip_code,residential_permits,residential_construction_cost,residential_permit_ratio,residential_cost_ratio,total_population,median_household_income,housing_units,housing_density,housing_value_per_unit,housing_units_change,housing_density_change,housing_value_per_unit_change
2006,46391,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,46403,1,1360.0,0.3333333333333333,0.0479548660084626,0.0,0.0,1.5,0.0,906.6666666666666,0.0,0.0,0.0
2006,46404,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,46406,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,46410,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,46514,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,46538,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,46580,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,46910,1,13000.0,0.25,0.2765957446808511,0.0,0.0,1.5,0.0,8666.666666666666,0.0,0.0,0.0
2006,48009,4,2287000.0,0.3636363636363636,0.5849104859335038,0.0,0.0,6.0,0.0,381166.6666666667,0.0,0.0,0.0
2006,48073,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,48104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,48178,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,48197,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,48234,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,49022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,49038,3,525000.0,0.4285714285714285,0.28,0.0,0.0,4.5,0.0,116666.66666666667,0.0,0.0,0.0
2006,49125,8,5851000.0,0.4705882352941176,0.8561603745976002,0.0,0.0,12.0,0.0,487583.3333333333,0.0,0.0,0.0
2006,49129,2,153000.0,0.1111111111111111,0.0289279636982416,0.0,0.0,3.0,0.0,51000.0,0.0,0.0,0.0
2006,49341,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,49445,1,90000.0,1.0,1.0,0.0,0.0,1.5,0.0,60000.0,0.0,0.0,0.0
2006,49507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,49546,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,52401,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,53126,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,53151,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,53154,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,53158,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,53402,1,58000.0,0.5,0.5204127411395244,0.0,0.0,1.5,0.0,38666.666666666664,0.0,0.0,0.0
2006,53545,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,53583,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,53713,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,53718,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,53719,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,54703,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,54935,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,55111,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,55347,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,55362,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,55378,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,55403,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,55413,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,55422,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,55438,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60004,5,731000.0,0.0193798449612403,0.0519756872012588,0.0,0.0,7.5,0.0,97466.66666666667,0.0,0.0,0.0
2006,60005,2,55635.0,0.0298507462686567,0.0026329128043361,0.0,0.0,3.0,0.0,18545.0,0.0,0.0,0.0
2006,60006,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60007,2,1325000.0,0.0186915887850467,0.1822889688759126,0.0,0.0,3.0,0.0,441666.6666666667,0.0,0.0,0.0
2006,60008,1,5000.0,0.0033898305084745,0.0044849686276444,0.0,0.0,1.5,0.0,3333.3333333333335,0.0,0.0,0.0
2006,60010,19,6005730.0,0.1194968553459119,0.2263759515963388,0.0,0.0,28.5,0.0,210727.36842105264,0.0,0.0,0.0
2006,60012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60013,1,10000.0,0.0384615384615384,0.0124378109452736,0.0,0.0,1.5,0.0,6666.666666666667,0.0,0.0,0.0
2006,60014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60015,10,4878900.0,0.15625,0.2915315141330252,0.0,0.0,15.0,0.0,325260.0,0.0,0.0,0.0
2006,60016,2,35000.0,0.0266666666666666,0.0062371303497871,0.0,0.0,3.0,0.0,11666.666666666666,0.0,0.0,0.0
2006,60018,1,300000.0,0.0151515151515151,0.1128718046627004,0.0,0.0,1.5,0.0,200000.0,0.0,0.0,0.0
2006,60020,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60021,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60022,11,1605000.0,0.5,0.507092982844144,0.0,0.0,16.5,0.0,97272.72727272728,0.0,0.0,0.0
2006,60025,28,4082700.0,0.1435897435897435,0.3065478337984698,0.0,0.0,42.0,0.0,97207.14285714286,0.0,0.0,0.0
2006,60026,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,60030,2,1175000.0,0.074074074074074,0.2070110684854277,0.0,0.0,3.0,0.0,391666.6666666667,0.0,0.0,0.0
