zip_code,year,total_population_x,median_household_income_x,median_home_value_x,labor_force_x,total_housing_units,occupied_housing_units,vacant_housing_units,housing_units,retail_deficit,other_permit_id,other_reported_cost,total_permits_x,total_construction_cost_x,total_population_y,median_household_income_y,median_home_value_y,labor_force_y,commercial_permits,Other_x,residential_permits,retail_permits,commercial_construction_cost,Other_y,residential_construction_cost,retail_construction_cost,total_permits_y,total_construction_cost_y,total_licenses,unique_businesses,active_licenses,residential_permit_ratio,commercial_permit_ratio,retail_permit_ratio,residential_cost_ratio,commercial_cost_ratio,retail_cost_ratio
60604,2018,782.0,116250.0,480000.0,547.0,599.0,479.0,309.0,312.8,27272250.0,3.0,1183701.0,3.0,1183701.0,782.0,116250.0,480000.0,547.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60604,2019,823.0,91750.0,485900.0,599.0,578.0,501.0,356.0,329.2,22653075.0,1.0,1.0,1.0,1.0,823.0,91750.0,485900.0,599.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60604,2020,729.0,58558.0,485900.0,525.0,515.0,437.0,320.0,291.6,12806634.6,7.0,440001.0,7.0,440001.0,729.0,58558.0,485900.0,525.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60604,2021,687.0,67938.0,575000.0,446.0,475.0,401.0,278.0,274.8,14002021.799999999,8.0,52080075.0,8.0,52080075.0,687.0,67938.0,575000.0,446.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60604,2022,737.0,76667.0,601300.0,488.0,506.0,452.0,282.0,294.8,16951073.7,6.0,585001.0,6.0,585001.0,737.0,76667.0,601300.0,488.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60604,2023,653.0,77806.0,577700.0,440.0,510.0,383.0,219.0,261.2,15242195.399999999,3.0,5002.0,3.0,5002.0,653.0,77806.0,577700.0,440.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,52.0,49.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
60604,2015,545.0,151731.0,572000.0,387.0,490.0,338.0,193.0,218.0,24808018.5,5.0,525003.0,5.0,525003.0,545.0,151731.0,572000.0,387.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60605,2016,26623.0,99725.0,378100.0,18628.0,14833.0,13320.0,6850.0,10649.2,796493602.5,5.0,10573807.0,5.0,10573807.0,26623.0,99725.0,378100.0,18628.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60605,2017,26188.0,107811.0,387900.0,17866.0,14671.0,13239.0,6222.0,10475.2,847006340.4,4.0,38160650.0,4.0,38160650.0,26188.0,107811.0,387900.0,17866.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60605,2018,27519.0,111164.0,395700.0,18837.0,15450.0,13865.0,6138.0,11007.6,917736634.8,1.0,100.0,1.0,100.0,27519.0,111164.0,395700.0,18837.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60605,2019,29060.0,111438.0,398900.0,19330.0,16684.0,14942.0,7636.0,11624.0,971516484.0,10.0,2175000.0,10.0,2175000.0,29060.0,111438.0,398900.0,19330.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60605,2020,30950.0,109194.0,404400.0,20697.0,17607.0,16266.0,7714.0,12380.0,1013866290.0,8.0,37197777.0,8.0,37197777.0,30950.0,109194.0,404400.0,20697.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60605,2021,32077.0,112162.0,414400.0,21532.0,19176.0,17467.0,9528.0,12830.8,1079346142.2,15.0,15299056.0,15.0,15299056.0,32077.0,112162.0,414400.0,21532.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60605,2022,34314.0,116462.0,480000.0,23214.0,20573.0,18817.0,10782.0,13725.6,1198883120.3999999,15.0,9545426.0,15.0,9545426.0,34314.0,116462.0,480000.0,23214.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60605,2023,34256.0,118403.0,495900.0,23504.0,20478.0,18822.0,11187.0,13702.4,1216803950.3999999,30.0,9972511.0,30.0,9972511.0,34256.0,118403.0,495900.0,23504.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,194.0,132.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0
60605,2015,27238.0,87668.0,352000.0,18608.0,14738.0,13467.0,7251.0,10895.2,716370295.1999999,1.0,40000.0,1.0,40000.0,27238.0,87668.0,352000.0,18608.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60606,2016,3011.0,119973.0,393500.0,2416.0,2334.0,1999.0,1143.0,1204.4,108371610.89999999,65.0,14802777.0,65.0,14802777.0,3011.0,119973.0,393500.0,2416.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60606,2017,2959.0,139179.0,441900.0,2401.0,2413.0,1979.0,1065.0,1183.6,123549198.3,39.0,6427301.0,39.0,6427301.0,2959.0,139179.0,441900.0,2401.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60606,2018,3101.0,131477.0,421500.0,2620.0,2500.0,2084.0,1172.0,1240.4,122313053.1,52.0,228401176.0,52.0,228401176.0,3101.0,131477.0,421500.0,2620.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60606,2019,3287.0,140558.0,402500.0,2805.0,2689.0,2201.0,1216.0,1314.8,138604243.79999998,56.0,350916882.0,56.0,350916882.0,3287.0,140558.0,402500.0,2805.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60606,2020,3204.0,121982.0,338700.0,2874.0,2734.0,2327.0,1537.0,1281.6,117249098.39999999,41.0,74415416.0,41.0,74415416.0,3204.0,121982.0,338700.0,2874.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60606,2021,3298.0,130196.0,335500.0,2961.0,2710.0,2388.0,1511.0,1319.2,128815922.39999999,40.0,348695533.0,40.0,348695533.0,3298.0,130196.0,335500.0,2961.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60606,2022,3513.0,133333.0,352900.0,3185.0,2997.0,2666.0,1787.0,1405.2,140519648.7,56.0,179020277.0,56.0,179020277.0,3513.0,133333.0,352900.0,3185.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
