permit_,permit_type,reported_cost,issue_date,street_number,street_direction,street_name,contact_1_city,contact_1_state,work_description,contact_1_zipcode,community_area,ward,address,zip_code
100179691,PERMIT - EASY PERMIT PROCESS,5000,2007-05-21T00:00:00.000,1435,W,LILL AVE,CHICAGO,IL,"REMOVE / REPLACE EXISTING ROOF COVERING, REPAIR ROOF SHEATING AS NEEDED, (ALL WORK NON - STRUCTUAL). ALL WORK SUBJECT TO FIELD INSPECTION.",,,,"1435 W LILL AVE, CHICAGO, IL",
100179832,PERMIT - PORCH CONSTRUCTION,3500,2007-05-22T00:00:00.000,3805,N,NEW ENGLAND AVE,,,ERECT REAR ONE STORY DE K TO SFR. AS PER PLANS,,,,"3805 N NEW ENGLAND AVE, CHICAGO, IL",
100179954,PERMIT - NEW CONSTRUCTION,750000,2007-05-25T00:00:00.000,3828,N,GREENVIEW AVE,CHICAGO,ILLINOIS,NEW SINGLE FAMILY HOME WITH ATTACHED NEW GARAGE 3 STORY BUILDING. BUILDING SPRINKLER SYSTEM. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION. PERMIT CONDITIONAL ON OBTAINING WRECKING PERMIT FOR #100179079 WITHIN 30 DAYS OF THIS PERMIT.,,,,"3828 N GREENVIEW AVE, CHICAGO, IL",
100179986,PERMIT - NEW CONSTRUCTION,750000,2007-05-25T00:00:00.000,3830,N,GREENVIEW AVE,CHICAGO,ILLINOIS,NEW SINGLE FAMILY HOME WITH ATTACHED NEW GARAGE 3 STORY BUILDING AS PER PLANS. BUILDING SPRINKLER SYSTEM. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION. PERMIT CONDITIONAL ON OBTAINING WRECKING PERMIT FOR #100179079 WITHIN 30 DAYS OF THIS PERMIT,,,,"3830 N GREENVIEW AVE, CHICAGO, IL",
100180116,PERMIT - EASY PERMIT PROCESS,10,2007-05-23T00:00:00.000,4738,S,ADA ST,CHICAGO,IL,FIRST REINSTATEMENT FOR PERMIT #100069592 AT 25% OF ORIGINAL COST PER APPROVAL FROM D.O.B.,,,,"4738 S ADA ST, CHICAGO, IL",
100180201,PERMIT - EASY PERMIT PROCESS,0,2007-05-23T00:00:00.000,2328,W,ERIE ST,CHICAGO,ILL,REPLACE 2 PLUMBING FIXTURES ALL WORK SAME AS EXISTING.,,,,"2328 W ERIE ST, CHICAGO, IL",
100180242,PERMIT - EASY PERMIT PROCESS,7000,2007-05-23T00:00:00.000,3700,S,MICHIGAN AVE,CHICAGO,IL,PORCH REPAIRS TO ADDRESS VIOLATIONS PER APPROVED STRUCTUAL REPORT REVIEWED BY DEPT. OF BUILDINGS.,,,,"3700 S MICHIGAN AVE, CHICAGO, IL",
100180389,PERMIT - RENOVATION/ALTERATION,35000,2007-05-30T00:00:00.000,505,E,89TH ST,CHICAGO,IL,"ERECT 17'X36' SECOND STORY FRAME ADDITION TO ONE STORY BRICK RESIDENCE.  WORK TO INCLUDE PLUMBING, ELECTRICAL, MECHANICAL AND CARPENTRY.  CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.",,,,"505 E 89TH ST, CHICAGO, IL",
100180426,PERMIT - RENOVATION/ALTERATION,15000,2007-07-20T00:00:00.000,3705,W,MONTROSE AVE,CHGO,IL,REMOVE AND REPLACE ENCLOSED STAIR AND BACK STAIRS AS PER PLANS,,,,"3705 W MONTROSE AVE, CHICAGO, IL",
100180465,PERMIT - EASY PERMIT PROCESS,3000,2007-05-24T00:00:00.000,7033,S,ROCKWELL ST,CHICAGO,IL,"PATCH AND REPAIR DRYWALL AS NEEDED, REPLACE DOORS AND WINDOWS,  MASONRY REPAIRS TO ADDRESS VIOLATIONS, TUCKPOINTING AND A NEW CHIMNEY CAP. NO ELECTRICAL, NO PLUMBING.  ALL WORK SAME AS EXISTING.",,,,"7033 S ROCKWELL ST, CHICAGO, IL",
