total_population,median_household_income,median_home_value,labor_force,state,zip code tabulation area,year,zip_code,total_population_change,median_household_income_change,median_home_value_change,labor_force_change,total_permits,residential_permits,commercial_permits,retail_permits,total_construction_cost,residential_construction_cost,commercial_construction_cost,retail_construction_cost,residential_permit_ratio,commercial_permit_ratio,retail_permit_ratio,residential_cost_ratio,commercial_cost_ratio,retail_cost_ratio,new_construction_permits,renovation_permits,addition_permits,other_permits,total_permits_change,residential_permits_change,commercial_permits_change,retail_permits_change,total_construction_cost_change,residential_construction_cost_change,commercial_construction_cost_change,retail_construction_cost_change,unemployment_rate,gdp,per_capita_income,personal_income,unemployment_rate_change,gdp_change,per_capita_income_change,personal_income_change,estimated_retail_value,retail_sales,per_capita_retail,income_factor,retail_potential,retail_gap,projected_population,projected_income,projected_retail_demand,leakage_surplus_factor,market_status,opportunity_score,is_high_opportunity,market_saturation
1252.0,85313.0,375400.0,875.0,17.0,60602,2016,60602,-0.0324574961360123,0.4871182540789289,0.1070480684163963,-0.0437158469945355,49.0,0.0,5.0,2.0,51046064.0,0.0,888137.0,209715.0,0.0,0.1020408163265306,0.0408163265306122,0.0,0.0173987361689629,0.0041083480990816,6.0,4.0,0.0,39.0,-0.1833333333333333,-1.0,1.5,inf,4.803706358703531,-1.0,1.4670472222222224,inf,5.866666666666667,654041.831,55262.0,55036.0,-0.0235783633841885,0.0210753378199033,0.0095175462633125,0.0123052587047289,15313819.2,18521978.86307255,14793.912829930154,1.2328260691608461,22834378.394842014,4312399.531769462,1251.067636925261,89276.14761567605,19367968.61675199,0.1888555693175154,Equilibrium,59.44277846587577,False,0.8111444306824847
1277.0,115774.0,-666666666.0,885.0,17.0,60602,2017,60602,0.0199680511182107,0.3570499220517389,-1776.8835002663825,0.0114285714285713,70.0,1.0,1.0,1.0,21407200.0,30000.0,110000.0,5000000.0,0.0142857142857142,0.0142857142857142,0.0142857142857142,0.0014013976606001,0.0051384580888672,0.2335662767666953,3.0,5.0,0.0,62.0,0.4285714285714286,inf,-0.8,-0.5,-0.5806297621693222,inf,-0.8761452343501059,22.84188064754548,4.916666666666667,674568.186,57233.0,56973.0,-0.1619318181818182,0.0313838565472428,0.0356664615830046,0.0351951449960026,6422160.0,25637151.928693987,20076.078252696938,1.673006521058078,42891122.35806172,17253970.429367736,1276.0490194517238,121152.18916293273,26808126.585642725,0.40227369862996176,Leakage,70.11368493149809,False,0.5977263013700382
1244.0,157125.0,-666666666.0,931.0,17.0,60602,2018,60602,-0.0258418167580266,0.3571700036277576,0.0,0.0519774011299434,54.0,2.0,4.0,3.0,42048620.0,12250000.0,19642336.0,12115000.0,0.037037037037037,0.074074074074074,0.0555555555555555,0.2913294181830462,0.4671339035621145,0.2881188490847024,13.0,10.0,0.0,31.0,-0.2285714285714285,1.0,3.0,2.0,0.96422792331552,407.3333333333333,177.5666909090909,1.423,4.133333333333334,707911.107,61322.0,60423.0,-0.159322033898305,0.0494285406457042,0.0714447958345709,0.0605549997367174,12614586.0,33894834.08663455,27246.651195043847,2.270554266253654,76960060.13936783,43065226.05273329,1243.0735945167928,164424.11700576817,35442977.64904441,0.5595789033265565,Leakage,77.97894516632782,False,0.4404210966734435
1145.0,191528.0,-666666666.0,956.0,17.0,60602,2019,60602,-0.0795819935691318,0.2189530628480509,0.0,0.0268528464017185,44.0,1.0,2.0,5.0,182286258.0,170000000.0,4487583.0,171385000.0,0.0227272727272727,0.0454545454545454,0.1136363636363636,0.9325990991597404,0.0246183286070856,0.9401970388793652,5.0,9.0,0.0,30.0,-0.1851851851851852,-0.5,-0.5,0.6666666666666667,3.335130570277931,12.877551020408164,-0.7715351677112132,13.146512587701196,3.866666666666666,728631.746,63007.0,62232.0,-0.0645161290322582,0.0292701142772153,0.0274779035256513,0.029938930539695,54685877.4,38028185.32090113,33212.388926551204,2.7676990772126002,105250573.4207278,67222388.09982666,1144.147319712,200425.28103026742,39765119.33698759,0.6386890438222358,Leakage,81.9344521911118,False,0.36131095617776415
1596.0,226276.0,-666666666.0,1434.0,,60602,2020,60602,0.3938864628820961,0.1814251702100997,0.0,0.5,39.0,4.0,3.0,3.0,14234478.0,335075.0,3024371.0,1868000.0,0.1025641025641025,0.0769230769230769,0.0769230769230769,0.0235396759895234,0.2124679949626533,0.1312306640257549,3.0,13.0,0.0,23.0,-0.1136363636363636,3.0,0.5,-0.4,-0.9219114037658286,-0.9980289705882353,-0.3260579247225065,-0.9891005630597776,9.841666666666669,700007.944,67184.0,65871.0,1.545258620689656,-0.0392843190776922,0.066294221277001,0.0584747396837639,4270343.399999999,62623771.77605312,39237.95224063479,3.2698293533862324,204769047.17309877,142145275.39704564,1594.8114604893901,236787.47175559076,65484107.03779588,0.694173642742426,Leakage,84.7086821371213,False,0.30582635725757396
1142.0,235666.0,-666666666.0,939.0,,60602,2021,60602,-0.2844611528822055,0.0414979936007353,0.0,-0.3451882845188284,43.0,5.0,0.0,1.0,11825936.0,4030000.0,0.0,10000.0,0.1162790697674418,0.0,0.0232558139534883,0.3407764087341585,0.0,0.000845599029117,12.0,4.0,0.0,27.0,0.1025641025641026,0.25,-1.0,-0.6666666666666667,-0.1692047997826123,11.027158098933077,-1.0,-0.994646680942184,6.241666666666667,770533.358,72316.0,71206.0,-0.3657917019475022,0.1007494480662636,0.0763872350559657,0.0809916351657027,3547780.8,46669255.82311302,40866.24853162261,3.405520710968551,158933117.27110103,112263861.447988,1141.1495538088243,246613.67674323858,48800869.973527215,0.7063591489021971,Leakage,85.31795744510985,False,0.29364085109780286
938.0,167617.0,-666666666.0,712.0,,60602,2022,60602,-0.1786339754816112,-0.2887518776573625,0.0,-0.2417465388711395,46.0,7.0,5.0,2.0,33449997.0,7287400.0,8420000.0,6265000.0,0.1521739130434782,0.108695652173913,0.0434782608695652,0.2178595113177439,0.2517190061332442,0.1872944861549614,22.0,11.0,0.0,13.0,0.069767441860465,0.3999999999999999,inf,1.0,1.828528498716719,0.808287841191067,inf,625.5,4.616666666666666,845186.849,73674.0,73317.0,-0.2603471295060081,0.0968854757875388,0.0187786935118092,0.0296463781142037,10034999.1,27263947.89811529,29066.042535304146,2.4221702112753456,66037922.440577924,38773974.54246263,937.3014723928871,175403.5145276426,28509226.31772522,0.5871470983562835,Leakage,79.35735491781418,False,0.41285290164371635
1127.0,123047.0,383300.0,848.0,,60602,2023,60602,0.2014925373134328,-0.2659038164386667,-1.000574950000575,0.1910112359550562,81.0,13.0,5.0,5.0,90403041.0,16696500.0,34238712.0,4781312.0,0.1604938271604938,0.0617283950617283,0.0617283950617283,0.1846895836169935,0.3787340737796641,0.0528888403212011,15.0,37.0,0.0,29.0,0.7608695652173914,0.8571428571428572,0.0,1.5,1.702632260325763,1.2911463622142327,3.066355344418052,-0.2368217079010375,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,27120912.3,24047104.30024072,21337.270896398157,1.7781059080331796,42758298.22734811,18711193.92710739,1126.1607242929465,128763.05059798731,25145453.67176622,0.43760380330430815,Leakage,71.88019016521541,False,0.5623961966956919
1076.0,122031.0,603300.0,683.0,17.0,60603,2015,60603,,,,,2.0,0.0,0.0,0.0,245955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.7142857142857143,0.0,-1.0,0.0,-0.9667989551906372,0.0,-1.0,0.0,6.008333333333333,640542.188,54741.0,54367.0,,,,,73786.5,22769331.64660657,21161.088890898296,1.763424074241525,40151987.58001544,17382655.933408875,1075.1987039389624,127699.85312541541,23809318.86468736,0.4329214313181502,Leakage,71.6460715659075,False,0.5670785686818498
1029.0,140500.0,613400.0,642.0,17.0,60603,2016,60603,-0.0436802973977694,0.1513467889306816,0.0167412564230067,-0.0600292825768667,13.0,0.0,8.0,0.0,3638705.0,0.0,2611750.0,0.0,0.0,0.6153846153846154,0.0,0.0,0.7177690964230407,0.0,1.0,11.0,0.0,1.0,5.5,0.0,inf,0.0,13.794189994104611,0.0,inf,0.0,5.866666666666667,654041.831,55262.0,55036.0,-0.0235783633841885,0.0210753378199033,0.0095175462633125,0.0123052587047289,1091611.5,25070300.545412038,24363.751744812474,2.0303126454010396,50900548.22135464,25830247.675942603,1028.233704789212,147026.8158428667,26215384.315341588,0.5074650191116383,Leakage,75.37325095558191,False,0.4925349808883616
