zip_code,total_population,median_household_income,median_home_value,labor_force,state,zip code tabulation area,year,total_population_change,median_household_income_change,median_home_value_change,labor_force_change,total_permits,residential_permits,commercial_permits,retail_permits,total_construction_cost,residential_construction_cost,commercial_construction_cost,retail_construction_cost,residential_permit_ratio,commercial_permit_ratio,retail_permit_ratio,residential_cost_ratio,commercial_cost_ratio,retail_cost_ratio,new_construction_permits,renovation_permits,addition_permits,other_permits,total_permits_change,residential_permits_change,commercial_permits_change,retail_permits_change,total_construction_cost_change,residential_construction_cost_change,commercial_construction_cost_change,retail_construction_cost_change,unemployment_rate,gdp,per_capita_income,personal_income,unemployment_rate_change,gdp_change,per_capita_income_change,personal_income_change,housing_density,retail_density,balance_score
60611,36036.0,124621.0,608200.0,25203.0,17.0,60611,2023,0.0223848838198996,-0.0172775447118569,-0.0721586575133486,0.0432568921268317,44.0,15.0,10.0,8.0,120712308.0,30382000.0,82400499.0,22116390.0,0.3409090909090909,0.2272727272727272,0.1818181818181818,0.2516893306356134,0.6826188676634366,0.1832156999268044,2.0,36.0,0.0,6.0,0.9130434782608696,1.1428571428571428,1.5,0.3333333333333332,0.1676616509152886,1.2023921710764771,0.326649641003375,-0.608432823033772,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.41625041625041626,0.2775002775002775,-109.96168582375478
60612,34699.0,60457.0,331600.0,18784.0,17.0,60612,2023,0.0069647987463361,0.0271670800910666,-0.0323898453457834,0.0452395526125424,129.0,4.0,1.0,2.0,2827389.0,480000.0,167173.0,164716.0,0.0310077519379844,0.0077519379844961,0.0155038759689922,0.1697679378394695,0.059126282234245,0.0582572826024293,4.0,8.0,0.0,117.0,0.5176470588235293,0.3333333333333332,-0.5,1.0,-0.3688870882956604,0.6000000000000001,1.1432435897435895,-0.9503867469879518,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.11527709732268941,0.028819274330672353,-118.39080459770115
60613,51334.0,91351.0,397800.0,37590.0,17.0,60613,2023,-0.0120667423644656,-0.0096164270691038,-0.0037565740045079,-0.0167150592482147,10.0,5.0,1.0,0.0,2225125.0,684000.0,500000.0,0.0,0.5,0.1,0.0,0.3073984607606314,0.2247064771642042,0.0,0.0,10.0,0.0,0.0,-0.2857142857142857,-0.2857142857142857,inf,-1.0,-0.5593376454425893,-0.8161290322580645,inf,-1.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.09740133245022792,0.019480266490045584,-121.455938697318
60614,70444.0,139561.0,730700.0,47061.0,17.0,60614,2023,-0.0175311362463563,0.0310052894418013,0.0005477201150212,-0.0174541202998099,24.0,5.0,2.0,5.0,84520508.0,78791500.0,78595000.0,80485000.0,0.2083333333333333,0.0833333333333333,0.2083333333333333,0.9322175394402504,0.9298926598974062,0.9522540967217092,3.0,10.0,0.0,11.0,-0.4666666666666667,-0.4444444444444444,-0.8571428571428572,-0.2857142857142857,2.0054845852495315,5.362951031890464,2.852507230037743,5.8790598290598295,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.07097836579410595,0.028391346317642382,-96.16858237547893
60615,42752.0,62105.0,305200.0,24624.0,17.0,60615,2023,-0.0006545114539504,0.0988534626136805,-0.0039164490861618,4.0612435527664914e-05,15.0,4.0,0.0,1.0,5640000.0,125000.0,0.0,25000.0,0.2666666666666666,0.0,0.0666666666666666,0.0221631205673758,0.0,0.0044326241134751,0.0,10.0,0.0,5.0,1.1428571428571428,3.0,0.0,inf,5.028210743682403,0.5625,0.0,inf,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.09356287425149701,0.0,-199.80842911877397
60616,54456.0,77841.0,387300.0,31321.0,17.0,60616,2023,0.0331834481188457,0.0762519702458313,-0.0097161851188953,0.043129287950443,25.0,6.0,1.0,5.0,61598451.0,56365760.0,100000.0,1257000.0,0.24,0.04,0.2,0.915051581410708,0.0016234174460003,0.0204063572962248,6.0,13.0,0.0,6.0,-0.074074074074074,-0.4545454545454546,-0.6666666666666667,0.6666666666666667,4.115224236807621,9.232450399652905,-0.9759615384615384,-0.6821744627054361,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.11018069634200088,0.018363449390333478,-129.11877394636016
60617,79284.0,51237.0,168200.0,36507.0,17.0,60617,2023,-0.046929845650815,0.0006640235923676,0.0460199004975123,-0.0646905103504816,21.0,3.0,0.0,1.0,791100.0,49000.0,0.0,20000.0,0.1428571428571428,0.0,0.0476190476190476,0.06193907217798,0.0,0.0252812539501959,0.0,10.0,0.0,11.0,0.3999999999999999,inf,0.0,0.0,-0.3108683080225453,inf,0.0,-0.4117647058823529,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.03783865597093991,0.0,-154.9808429118774
60618,91896.0,101558.0,538300.0,57375.0,17.0,60618,2023,-0.0036753943730687,0.0057637458405956,0.0708175850407797,-0.0118321793944404,36.0,10.0,3.0,3.0,21941041.0,1777550.0,17375000.0,314250.0,0.2777777777777778,0.0833333333333333,0.0833333333333333,0.0810148433704672,0.7918949697965562,0.0143224744897017,5.0,21.0,0.0,10.0,0.0588235294117647,0.25,2.0,0.5,5.248868905861867,0.9011229946524064,18.30555555555556,1.327777777777778,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.10881866457734832,0.03264559937320449,-114.94252873563218
60619,59892.0,43403.0,213000.0,29150.0,17.0,60619,2023,-0.0091160266697549,0.0140413999345825,0.0834181078331637,0.0157856221904728,11.0,0.0,0.0,1.0,250250.0,0.0,0.0,40000.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.1598401598401598,1.0,5.0,0.0,5.0,-0.0833333333333333,-1.0,0.0,inf,-0.103339054286953,-1.0,0.0,inf,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,-69.73180076628353
60621,27318.0,33235.0,161900.0,11720.0,17.0,60621,2023,0.011890210023336,0.1018466332924443,0.2941646682653878,0.0018806633612582,11.0,3.0,1.0,2.0,648000.0,148000.0,200000.0,280000.0,0.2727272727272727,0.0909090909090909,0.1818181818181818,0.228395061728395,0.3086419753086419,0.4320987654320987,0.0,10.0,0.0,1.0,0.5714285714285714,2.0,inf,inf,-0.860907731598286,-0.4618181818181818,inf,inf,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.10981770261366132,0.03660590087122044,-112.26053639846742
