zip_code,total_population,median_household_income,median_home_value,labor_force,state,zip code tabulation area,year,total_population_change,median_household_income_change,median_home_value_change,labor_force_change,total_permits,residential_permits,commercial_permits,total_construction_cost,residential_construction_cost,commercial_construction_cost,is_residential,is_commercial,unemployment_rate,gdp,per_capita_income,personal_income,unemployment_rate_change,gdp_change,per_capita_income_change,personal_income_change,commercial_permit_value,retail_per_capita,retail_value_per_capita,expected_retail,leakage_score
60657,71268.0,109025.0,534500.0,52217.0,17.0,60657,2023,0.0010675356781659,0.0341180711006563,0.0150018989745537,-0.0052009906648885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,2330998110.0,100.0
60659,42008.0,70033.0,358800.0,19855.0,17.0,60659,2023,-0.0143825813566081,0.0908227158032459,0.0072992700729928,-0.0291902992372383,1.0,0.0,0.0,611578.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,882583879.1999999,100.0
60660,42750.0,66206.0,287500.0,26565.0,17.0,60660,2023,-0.0033803473598321,0.0410403170010693,0.0352898811667266,0.0041959628033567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,849091950.0,100.0
60661,11516.0,138831.0,397700.0,9556.0,17.0,60661,2023,0.0002605750021713,-0.0065618112602684,-0.0172967630343464,-0.0187904302289763,1.0,0.0,0.0,82000.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,479633338.8,100.0
60707,40897.0,82746.0,315300.0,21442.0,17.0,60707,2023,0.0012731056432855,0.083871474791402,0.021379980563654,-0.0169631395562075,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,1015218948.5999999,100.0
60632,87831.0,60576.0,240600.0,42677.0,17.0,60632,2023,0.016892048349002,0.1224845272949635,0.0636604774535809,0.0333664253371752,9.0,0.0,0.0,24000.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,1596135196.8,100.0
60631,30308.0,117688.0,431400.0,15936.0,17.0,60631,2023,-0.0036162798343086,0.0417264149273284,0.0589101620029455,0.0073961691636639,1.0,0.0,0.0,3500.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,1070066371.1999999,100.0
60630,54242.0,97134.0,362900.0,30621.0,17.0,60630,2023,-0.0190433131386201,0.0658254238218027,0.0136871508379887,-0.0078411042348442,2.0,0.0,0.0,7482.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,1580622728.3999999,100.0
60629,109292.0,58813.0,236300.0,51137.0,17.0,60629,2023,0.0027064965090781,0.1030608800030008,0.0525612472160357,-0.0048844088113956,2.0,0.0,0.0,10900.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,1928337118.8,100.0
60603,1126.0,128107.0,608100.0,772.0,17.0,60603,2023,0.0144144144144144,0.0257750944846582,-0.1972277227722771,0.0320855614973261,2.0,0.0,0.0,201000.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,43274544.6,100.0
