zoning_classification,zone_category,total_parcels,avg_lot_size,total_area,zip_code
PD 1288,5,1,42071.6998808,42071.6998808,60601
C2-2,2,207,116599.38028289526,24136071.71855932,60601
PD 963,5,1,104494.993678,104494.993678,60601
PD 142,5,1,577796.227572,577796.227572,60601
PD 888,5,1,51486.4039306,51486.4039306,60601
PD 26,5,1,721783.429776,721783.429776,60601
B3-3,4,1,59497.813758,59497.813758,60601
PD 73,5,1,327249.748684,327249.748684,60601
PD 840,5,1,1316086.026,1316086.026,60601
PD 1185,5,1,267326.584362,267326.584362,60601
PD 297,5,1,79585.1382565,79585.1382565,60601
PD 1546,5,1,143788.898564,143788.898564,60601
PD 668,5,1,217341.859725,217341.859725,60601
PD 399,5,1,182451.422053,182451.422053,60601
PD 58,5,1,191813.328335,191813.328335,60601
PD 1598,5,1,129850.540454,129850.540454,60601
PD 1462,5,1,104782.793636,104782.793636,60601
PD 1184,5,1,786696.347773,786696.347773,60601
PD 1168,5,1,1557199.62459,1557199.62459,60601
PD 1358,5,1,32502.3397572,32502.3397572,60601
PD 960,5,1,129624.42341,129624.42341,60601
PD 134,5,1,407034.133762,407034.133762,60601
PD 1121,5,1,4507943.03751,4507943.03751,60601
PD 1054,5,1,761899.492848,761899.492848,60601
PD 805,5,1,240096.975555,240096.975555,60601
PD 1135,5,1,660119.752631,660119.752631,60601
PD 491,5,1,108801.568145,108801.568145,60601
PD 1400,5,1,36898.2999311,36898.2999311,60601
PD 354,5,1,48352.6386971,48352.6386971,60601
PD 356,5,1,218944.675424,218944.675424,60601
PD 359,5,1,506143.692183,506143.692183,60601
PD 1597,5,1,239617.419062,239617.419062,60601
PD 1291,5,1,22022.0788611,22022.0788611,60601
PD 1537,5,1,42949.4761791,42949.4761791,60601
PD 1,5,1,4828010.44282,4828010.44282,60601
PD 1364,5,1,68806.4332317,68806.4332317,60601
PD 917,5,1,42569.9641246,42569.9641246,60601
PD 807,5,1,103972.457051,103972.457051,60601
RM-4.5,4,442,21116.838779219488,9333642.740415014,60601
PD 53,5,1,189759.85708,189759.85708,60601
PD 468,5,1,54654.3988048,54654.3988048,60601
PD 202,5,1,161260.764021,161260.764021,60601
PD 586,5,1,36164.1344615,36164.1344615,60601
RM-5,4,717,226072.50937089216,162093989.2189297,60601
PD 556,5,1,84615.5507624,84615.5507624,60601
PD 526,5,1,548343.654888,548343.654888,60601
PD 1428,5,1,57679.3190591,57679.3190591,60601
PD 264,5,1,564189.493264,564189.493264,60601
PD 806,5,1,124762.251948,124762.251948,60601
B1-5,1,40,64768.970810046,2590758.83240184,60601
PD 276,5,1,131420.519146,131420.519146,60601
PD 522,5,1,2342692.8866,2342692.8866,60601
PD 1285,5,1,20310.3153317,20310.3153317,60601
PD 1000,5,1,168490.169808,168490.169808,60601
PD 28,5,1,2160373.64697,2160373.64697,60601
PD 1341,5,1,24169.8024741,24169.8024741,60601
PD 1371,5,1,87266.1855185,87266.1855185,60601
PD 1511,5,1,57325.212706,57325.212706,60601
DR-10,9,12,106802.25459559917,1281627.05514719,60601
PD 788,5,1,149963.964747,149963.964747,60601
PD 640,5,1,242980.21434,242980.21434,60601
PD 1441,5,1,60723.9173044,60723.9173044,60601
C1-1.5,2,1,9290.80230948,9290.80230948,60601
PD 607,5,1,45339.7206991,45339.7206991,60601
PD 1042,5,1,23735.8273461,23735.8273461,60601
PD 581,5,1,1108056.41029,1108056.41029,60601
PD 1294,5,1,19737.7852255,19737.7852255,60601
B2-3,1,547,19490.06513250592,10661065.627480736,60601
PD 1101,5,1,112801.422671,112801.422671,60601
PD 1520,5,1,35170.4864326,35170.4864326,60601
PD 1578,5,1,185194.663967,185194.663967,60601
PD 1330,5,1,91778.8731061,91778.8731061,60601
PD 1087,5,1,143739.442724,143739.442724,60601
M3-2,3,15,1119784.06237751,16796760.93566265,60601
PD 1494,5,1,172904.677437,172904.677437,60601
PD 77,5,1,715577.228659,715577.228659,60601
PD 89,5,1,180562.693846,180562.693846,60601
PD 1560,5,1,1731426.77162,1731426.77162,60601
PD 460,5,1,85913.2051204,85913.2051204,60601
PD 69,5,1,234172.313808,234172.313808,60601
PD 632,5,1,161739.494455,161739.494455,60601
PD 925,5,1,106741.741171,106741.741171,60601
PD 479,5,1,73264.7421746,73264.7421746,60601
PD 792,5,1,158341.600326,158341.600326,60601
PD 480,5,1,50651.6205779,50651.6205779,60601
PD 1160,5,1,2384457.01251,2384457.01251,60601
PD 848,5,1,174566.800178,174566.800178,60601
PD 1491,5,1,23892.6801871,23892.6801871,60601
PD 726,5,1,57157.0735836,57157.0735836,60601
PD 424,5,1,149940.806238,149940.806238,60601
PD 305,5,1,57510.4971236,57510.4971236,60601
PD 704,5,1,177872.567333,177872.567333,60601
PD 107,5,1,319935.463426,319935.463426,60601
PD 875,5,1,252279.643214,252279.643214,60601
PD 446,5,1,480408.135079,480408.135079,60601
PD 1379,5,1,143179.05757,143179.05757,60601
PD 1562,5,1,86720.2030907,86720.2030907,60601
PD 402,5,1,175191.139854,175191.139854,60601
PMD13,6,1,39240835.5975,39240835.5975,60601
B2-2,1,244,20091.727003962154,4902381.388966765,60601
PD 561,5,1,2836189.14411,2836189.14411,60601
PD 1386,5,1,9190.72961173,9190.72961173,60601
PD 634,5,1,138947.524232,138947.524232,60601
PD 540,5,1,558384.874417,558384.874417,60601
PD 1120,5,1,108644.152387,108644.152387,60601
PD 312,5,1,137643.431886,137643.431886,60601
PD 1161,5,1,57531.9294607,57531.9294607,60601
PD 1292,5,1,159681.566605,159681.566605,60601
PD 244,5,1,193690.399735,193690.399735,60601
PD 444,5,1,456013.116094,456013.116094,60601
PD 165,5,1,457846.086173,457846.086173,60601
PD 758,5,1,2062720.98387,2062720.98387,60601
PD 753,5,1,51235.1869465,51235.1869465,60601
PD 1365,5,1,87631.7176099,87631.7176099,60601
PD 343,5,1,72607.7586253,72607.7586253,60601
PD 1411,5,1,1489329.24449,1489329.24449,60601
PD 1486,5,1,19685.9462728,19685.9462728,60601
PD 1308,5,1,40367.0936223,40367.0936223,60601
PD 1175,5,1,418874.518745,418874.518745,60601
PD 987,5,1,113783.330185,113783.330185,60601
PD 1115,5,1,151991.545797,151991.545797,60601
PD 1262,5,1,89706.3557199,89706.3557199,60601
PD 952,5,1,104512.092013,104512.092013,60601
PD 195,5,1,25217.3972709,25217.3972709,60601
PD 423,5,1,19916.7143652,19916.7143652,60601
PD 189,5,1,246118.243232,246118.243232,60601
PD 168,5,1,486511.878697,486511.878697,60601
PD 962,5,1,3027313.9601,3027313.9601,60601
PD 184,5,1,6531352.32875,6531352.32875,60601
PD 162,5,1,723347.250663,723347.250663,60601
PD 447,5,1,1813062.46273,1813062.46273,60601
PD 525,5,1,80105.8551562,80105.8551562,60601
PD 105,5,1,119162.054996,119162.054996,60601
PD 593,5,1,76184.5741589,76184.5741589,60601
PD 841,5,1,36376.9508796,36376.9508796,60601
PD 1522,5,1,478226.78555,478226.78555,60601
PD 227,5,1,58894.3990248,58894.3990248,60601
PD 833,5,1,275337.613768,275337.613768,60601
PD 13,5,1,173790.107519,173790.107519,60601
PD 233,5,1,645145.550022,645145.550022,60601
PD 1378,5,1,67946.8038396,67946.8038396,60601
PD 790,5,1,107917.54638,107917.54638,60601
PD 767,5,1,235376.054522,235376.054522,60601
PD 181,5,1,172165.074078,172165.074078,60601
PD 230,5,1,75949.091432,75949.091432,60601
PD 224,5,1,221353.70741,221353.70741,60601
PD 192,5,1,82730.8607752,82730.8607752,60601
PD 332,5,1,15030.9516825,15030.9516825,60601
PD 203,5,1,384188.509014,384188.509014,60601
PD 541,5,1,737361.628321,737361.628321,60601
PD 1226,5,1,158281.686451,158281.686451,60601
DC-16,8,6,1343029.5490641,8058177.2943846,60601
PD 931,5,1,67640.6240943,67640.6240943,60601
PD 419,5,1,101477.965031,101477.965031,60601
PD 1069,5,1,218957.055827,218957.055827,60601
RM4.5,4,9,5544.44040636,49899.96365724,60601
PD 310,5,1,41253.3039942,41253.3039942,60601
PD 1231,5,1,35851.2821366,35851.2821366,60601
PD 867,5,1,122639.412997,122639.412997,60601
PD 560,5,2,24390.11348375,48780.2269675,60601
PD 1482,5,1,846546.86656,846546.86656,60601
PD 1091,5,1,762488.318867,762488.318867,60601
PD 846,5,1,76504.1671592,76504.1671592,60601
PD 1263,5,1,137539.395256,137539.395256,60601
PD 825,5,1,26968.1187929,26968.1187929,60601
PD 1229,5,1,44401.8636726,44401.8636726,60601
PD 428,5,1,38169.3265943,38169.3265943,60601
PD 580,5,1,267322.184429,267322.184429,60601
PD 1380,5,1,45672.4094916,45672.4094916,60601
PD 815,5,1,91920.6595457,91920.6595457,60601
C3-2,2,22,176531.2146363741,3883686.72200023,60601
PD 1260,5,1,388610.178743,388610.178743,60601
PD 597,5,1,90221.1285728,90221.1285728,60601
PD 887,5,1,253061.966437,253061.966437,60601
PD 623,5,1,114767.472063,114767.472063,60601
PD 314,5,1,106419.245354,106419.245354,60601
PD 450,5,1,537640.29815,537640.29815,60601
PD 1217,5,1,479560.712788,479560.712788,60601
RT-4A,4,10,29710.219619735,297102.19619735,60601
PD 1376,1,1,139208.536612,139208.536612,60601
PD 874,5,1,369282.005041,369282.005041,60601
PD 905,5,1,372458.047422,372458.047422,60601
PD 688,5,1,222607.084817,222607.084817,60601
PD 112,5,1,156145.757518,156145.757518,60601
PD 1423,5,1,59247.5318266,59247.5318266,60601
PD 1391,5,1,66908.9564825,66908.9564825,60601
PD 120,5,1,527306.766146,527306.766146,60601
PD 1551,5,1,25280.4434665,25280.4434665,60601
PD 337,5,1,23196.4884822,23196.4884822,60601
PD 56,5,1,217437.59909,217437.59909,60601
RM-4.5,2,2,7967.66295911,15935.32591822,60601
PD 742,5,1,321687.859913,321687.859913,60601
PD 1002,5,1,77031.5910001,77031.5910001,60601
PD 1220,5,1,539349.369394,539349.369394,60601
PD 364,5,1,32362.020221,32362.020221,60601
PD 121,5,1,259290.351673,259290.351673,60601
PD 416,5,1,350767.919655,350767.919655,60601
PD 939,5,1,38887.5715497,38887.5715497,60601
PD 701,5,1,186717.563313,186717.563313,60601
M3-1,3,4,1045799.704407025,4183198.8176281,60601
PD 86,5,1,124847.931178,124847.931178,60601
T,11,38,187648.02294729737,7130624.8719973,60601
PD 813,5,1,108407.841123,108407.841123,60601
PD 1487,5,1,84080.5771609,84080.5771609,60601
PD 1068,5,1,79226.2497945,79226.2497945,60601
PD 49,5,1,838832.781861,838832.781861,60601
PD 94,5,1,901085.575743,901085.575743,60601
PD 180,5,1,685509.735081,685509.735081,60601
PD 461,5,2,64589.39247435,129178.7849487,60601
PD 800,5,1,45977.657482,45977.657482,60601
PD 1108,5,1,106185.077906,106185.077906,60601
PD 389,5,1,264989.445295,264989.445295,60601
PD 367,5,1,685935.584795,685935.584795,60601
PD 1408,5,1,28378.7843676,28378.7843676,60601
PD 780,5,1,60977.0380822,60977.0380822,60601
PD 323,5,2,527022.2597845,1054044.519569,60601
PD 1075,5,1,433522.848067,433522.848067,60601
PD 946,5,1,32125.7782985,32125.7782985,60601
DX-12,7,23,389015.19334737695,8947349.44698967,60601
PD 327,5,1,43962.5258162,43962.5258162,60601
PD 1538,5,1,979221.571939,979221.571939,60601
PD 1096,5,1,121887.024341,121887.024341,60601
PD 282,5,1,176813.70717,176813.70717,60601
C2-1,2,245,64756.031858261355,15865227.80527403,60601
PD 1024,5,1,159383.245131,159383.245131,60601
PD 1264,5,1,51451.2488617,51451.2488617,60601
PD 225,5,1,746334.9746,746334.9746,60601
PD 318,5,1,106243.320372,106243.320372,60601
PD 1484,5,1,18097.9105113,18097.9105113,60601
RT-4,1,2,5430.69241386,10861.38482772,60601
PD 1182,5,1,190155.643514,190155.643514,60601
