zoning_classification,zone_category,total_parcels,avg_lot_size,total_area,zip_code
PD 32,5,1,360255.677962,360255.677962,60601
PD 1064,5,1,55753.7937303,55753.7937303,60601
PD 1197,5,1,175134.475194,175134.475194,60601
PD 1370,5,1,88287.4569263,88287.4569263,60601
PD 155,5,1,334782.185657,334782.185657,60601
PD 628,5,1,46759.0685415,46759.0685415,60601
PD 706,5,1,41829.6931772,41829.6931772,60601
PD 201,5,1,251515.400079,251515.400079,60601
PD 1016,5,1,331842.170827,331842.170827,60601
PD 1334,5,1,33421.1450694,33421.1450694,60601
B3-3,1,510,68246.85426784068,34805895.67659875,60601
PD 1204,5,1,136112.256595,136112.256595,60601
PD 982,5,1,180500.269609,180500.269609,60601
PD 1284,5,1,71080.650198,71080.650198,60601
PD 1448,5,1,157644.872007,157644.872007,60601
PD 613,5,1,94890.7842286,94890.7842286,60601
PD 590,5,1,70247.7692599,70247.7692599,60601
PD 703,5,1,9266.37070104,9266.37070104,60601
PD 1006,5,1,646995.069203,646995.069203,60601
PD 1107,5,1,232448.301983,232448.301983,60601
PD 1140,5,1,81644.2658315,81644.2658315,60601
PD 1493,5,1,259572.388598,259572.388598,60601
PD 1514,5,1,446007.670646,446007.670646,60601
PD 1313,5,1,30087.8664113,30087.8664113,60601
PD 194,5,1,211952.231942,211952.231942,60601
PD 983,5,1,67305.1872935,67305.1872935,60601
PD 914,5,1,627960.051637,627960.051637,60601
PD 1518,5,1,62228.8955857,62228.8955857,60601
PD 999,5,1,128059.276302,128059.276302,60601
PD 635,5,1,218340.515851,218340.515851,60601
PD 1488,5,1,52377.1500215,52377.1500215,60601
PD 605,5,1,52648.4257463,52648.4257463,60601
C3-5,2,12,211495.74640095,2537948.9568114,60601
PD 1210,5,1,296815.555925,296815.555925,60601
PD 425,5,1,658200.691185,658200.691185,60601
DR-5,9,9,58879.615541581115,529916.53987423,60601
PD 1519,5,1,39772.7182626,39772.7182626,60601
PD 1049,5,1,438073.942936,438073.942936,60601
PD 462,5,1,147748.3851,147748.3851,60601
PD 616,5,1,42101.7750433,42101.7750433,60601
PD 600,5,1,212511.953452,212511.953452,60601
PD 352,5,1,41155.7998918,41155.7998918,60601
PD 1585,5,1,537799.987128,537799.987128,60601
PD 872,5,1,219980.349536,219980.349536,60601
PD 748,5,1,74080.0638459,74080.0638459,60601
PD 732,5,1,34847.3159675,34847.3159675,60601
PD 604,5,1,141968.401375,141968.401375,60601
PD 782,5,1,165180.383555,165180.383555,60601
PD 927,5,1,72936.4356105,72936.4356105,60601
PD 1489,5,1,284354.998873,284354.998873,60601
PD 1017,5,1,205039.05453,205039.05453,60601
PD 90,5,1,1110215.33739,1110215.33739,60601
PD 559,5,1,147520.886193,147520.886193,60601
PMD 7,6,1,15258949.5987,15258949.5987,60601
PD 420,5,1,249418.157053,249418.157053,60601
PD 1340,5,1,17478.8252146,17478.8252146,60601
PMD 9,6,1,31578722.0733,31578722.0733,60601
PD 257,5,1,94594.4017346,94594.4017346,60601
PD 570,5,1,191795.405461,191795.405461,60601
PD 131,5,1,646040.804458,646040.804458,60601
PD 659,5,1,24636.7751599,24636.7751599,60601
PD 1534,5,1,418433.850203,418433.850203,60601
PD 411,5,1,300683.869168,300683.869168,60601
B3-2,1,826,147436.66531283903,121782685.54840504,60601
PD 523,5,1,1175901.10144,1175901.10144,60601
PD 1346,5,1,80047.66944,80047.66944,60601
PD 1177,5,1,133703.480404,133703.480404,60601
PD 603,5,1,39109.5024904,39109.5024904,60601
PD 617,5,1,817589.614689,817589.614689,60601
PD 980,5,1,45349.3049133,45349.3049133,60601
PD 443,5,1,161528.648084,161528.648084,60601
PD 39,5,1,192349.935166,192349.935166,60601
PD 1021,5,1,391591.812857,391591.812857,60601
PD 1362,5,1,117706.205886,117706.205886,60601
PD 584,5,1,103502.772623,103502.772623,60601
PD 1467,5,1,82400.6925803,82400.6925803,60601
PD 1444,5,1,51132.0032704,51132.0032704,60601
PD 429,5,1,52455.2500232,52455.2500232,60601
PD 923,5,1,344867.491012,344867.491012,60601
PD 222,5,1,236495.237296,236495.237296,60601
PD 301,5,2,93880.97061257943,187761.9412251589,60601
PD 824,5,1,99320.8791693,99320.8791693,60601
PD 945,5,1,202885.302369,202885.302369,60601
PD 99,5,1,631913.127879,631913.127879,60601
C2-5,2,26,44410.24180369192,1154666.28689599,60601
PD 1167,5,1,7816753.23389,7816753.23389,60601
PD 1250,5,1,58497.7807888,58497.7807888,60601
PD 1243,5,1,680233.886617,680233.886617,60601
PD 458,5,1,92952.2272744,92952.2272744,60601
PD 1080,5,1,64949.0274359,64949.0274359,60601
PD 1503,5,1,1018528.52123,1018528.52123,60601
PD 1505,5,1,977493.924053,977493.924053,60601
PD 973,5,1,57296.6183123,57296.6183123,60601
PD 256,5,1,133304.677589,133304.677589,60601
PD 324,5,1,35222.695783,35222.695783,60601
PMD 10,6,1,5449450.27878,5449450.27878,60601
PD 669,5,1,27185.7937228,27185.7937228,60601
PD 821,5,1,89114.0628592,89114.0628592,60601
PD 712,5,1,182535.498688,182535.498688,60601
PD 660,5,1,115214.728138,115214.728138,60601
PD 488,5,1,33930.5225669,33930.5225669,60601
PD 27,5,1,599692.063361,599692.063361,60601
PD 698,5,1,27123.3878233,27123.3878233,60601
PD 991,5,1,601552.374225,601552.374225,60601
B3-1,5,1,23374.7097698,23374.7097698,60601
PD 129,5,1,306038.792238,306038.792238,60601
